id,name,artist,genres,link,img_link,mc_rating,usr_rating
b261969a-feab-4ebc-9684-a21d1dad42a4,Tao of the Dead,...And You Will Know Us by the Trail of Dead,"{Pop/Rock,'"Alternative/Indie Rock'",'"Alternative Pop/Rock'"}",/music/tao-of-the-dead/and-you-will-know-us-by-the-trail-of-dead,http://static.metacritic.com/images/products/music/6/dfae0dfbe31af4798142987a338d87ef-98.jpg,73,7.5
91d8ea2c-aa06-4c39-97a0-db3b6e872b0b,Lost Songs,...And You Will Know Us by the Trail of Dead,"{Pop/Rock,'"Alternative/Indie Rock'",'"Alternative Pop/Rock'"}",/music/lost-songs/and-you-will-know-us-by-the-trail-of-dead,http://static.metacritic.com/images/products/music/0/4adf0a62e1ae5f68482ae9a8dac4e713-98.jpg,79,8.3
b764c6f3-78d9-4417-86dc-49e7ce87831e,IX,...And You Will Know Us by the Trail of Dead,{Pop/Rock},/music/ix/and-you-will-know-us-by-the-trail-of-dead,http://static.metacritic.com/images/products/music/8/aa07de50e3de8e824df1dba96b8e2125-98.jpg,74,8.8
d1faa5fd-cdd5-45df-a766-dba22efa1d97,Two Parts Viper,'68,{Pop/Rock},/music/two-parts-viper/68,http://static.metacritic.com/images/products/music/9/5e340f23f01b2ccde527682e7756a9a6-98.jpg,92,
3387c5a7-4f74-4902-a5c8-2002c0daaf6f,A  Commemorative Single For Tiki Oasis 11,Herb,{Pop/Rock},/music/a-commemorative-single-for-tiki-oasis-11/lushy,http://static.metacritic.com/images/products/music/53w-release.jpg,,
a104ceae-9a9b-4d09-9858-9af52432ed2a,Anxiety Always,Adult.,{Electronic},/music/anxiety-always/adult,http://static.metacritic.com/images/products/music/9/9a06b5246caca2ce665b246192290677-98.jpg,72,8.9
c985d120-0f4a-4d1d-85dc-e686c9cddd91,When Your Heart Stops Beating,(+44),"{Rock,Alternative}",/music/when-your-heart-stops-beating/+44,http://static.metacritic.com/images/products/music/4/00d14fd654833b9fc228e8284b73820d-98.jpg,60,8.2
5ca63da1-f230-4903-9e63-68af8b6ccf2b,Rocket,(Sandy) Alex G,"{Pop/Rock,'"Alternative/Indie Rock'"}",/music/rocket/sandy-alex-g,http://static.metacritic.com/images/products/music/6/17eb5054e63a9245048dfcdb05d33583-98.jpg,82,8.1
1ce1708c-6edc-42d2-8482-ae5f1caf9839,Celebrity,*NSYNC,{Pop},/music/celebrity/nsync,http://static.metacritic.com/images/products/music/4/1fc08c35c8bcb2db43d879236a3a61bc-98.jpg,65,8.6
da075bca-c512-4647-b653-817f2bc521b2,Let's Build A Fire,+/-,"{Indie,Rock}",/music/lets-build-a-fire/+-,http://static.metacritic.com/images/products/music/5/0ccdd6041567f2ced2e2caf7a6c8a4af-98.jpg,75,8
